x,y,Ma,rho,u,v,p,T
45.602118,-3.263884,2.181279,0.975950,707.175582,-66.250085,73913.950538,263.876366
45.602118,-2.182287,2.189222,0.979216,708.487880,-66.411906,73898.411329,262.940990
45.602118,-1.100690,2.196777,0.982850,709.739275,-66.462441,73922.539994,262.054276
45.602118,-0.019093,2.198103,0.984425,709.976741,-66.274921,73997.098825,261.898859
45.602118,1.062504,2.199217,0.983988,710.141493,-66.485149,73927.454043,261.768512
45.602118,2.144102,2.201504,0.981806,710.453938,-67.186267,73688.064334,261.500938
45.602118,3.225699,2.201600,0.981869,710.470237,-67.183045,73689.659940,261.489626
45.602118,4.307296,2.197331,0.986656,709.899735,-65.726340,74190.410577,261.989325
45.602118,5.388893,2.193190,0.991332,709.342086,-64.310848,74680.170774,262.474874
45.602118,6.470490,2.195997,0.988216,709.721634,-65.258455,74352.042025,262.145676
45.602118,7.552087,2.206529,0.976626,711.127996,-68.812195,73134.778862,260.913925
45.602118,8.633684,2.217205,0.965171,712.527688,-72.381190,71932.712580,259.671266
45.602118,9.715281,2.219197,0.963060,712.785930,-73.044140,71711.508585,259.440073
45.602118,10.796878,2.209627,0.973243,711.536270,-69.857050,72780.556933,260.552702
45.602118,11.878475,2.190894,0.993609,709.024649,-63.597387,74928.571522,262.744401
45.602118,12.960073,2.166770,1.020607,705.658851,-55.517003,77799.099552,265.593485
45.602118,14.041670,2.140313,1.051172,701.793423,-46.650055,81081.965619,268.752308
45.602118,15.123267,2.113629,1.083002,697.706218,-37.714859,84538.788974,271.974614
45.602118,16.204864,2.088189,1.114296,693.630294,-29.212785,87974.898117,275.080522
45.602118,17.286461,2.065113,1.143495,689.779770,-21.521056,91214.121640,277.926150
45.602118,18.368058,2.045289,1.169204,686.354003,-14.933509,94092.377294,280.392189
45.602118,19.449655,2.029338,1.190307,683.517517,-9.650301,96473.479957,282.390870
45.602118,20.531252,2.017488,1.206215,681.363902,-5.738980,98279.732675,283.883905
45.602118,21.612849,2.009485,1.217061,679.886970,-3.106268,99517.053765,284.896192
45.602118,22.694446,2.004639,1.223663,678.983856,-1.516811,100272.687093,285.510685
45.602118,23.776044,2.002034,1.227220,678.495724,-0.664477,100680.622767,285.841428
45.602118,24.857641,2.000798,1.228909,678.263358,-0.260520,100874.638949,285.998534
45.602118,25.939238,2.000280,1.229617,678.165869,-0.091409,100955.993253,286.064384
45.602118,27.020835,2.000088,1.229880,678.129703,-0.028733,100986.164818,286.088803
45.602118,28.102432,2.000025,1.229966,678.117793,-0.008100,100996.099383,286.096843
45.602118,29.184029,2.000006,1.229991,678.114299,-0.002049,100999.013168,286.099201
45.602118,30.265626,2.000001,1.229998,678.113385,-0.000465,100999.776057,286.099819
45.602118,31.347223,2.000000,1.230000,678.113171,-0.000094,100999.954501,286.099963
45.602118,32.428820,2.000000,1.230000,678.113126,-0.000017,100999.991758,286.099993
45.602118,33.510417,2.000000,1.230000,678.113118,-0.000003,100999.998680,286.099999
45.602118,34.592015,2.000000,1.230000,678.113116,-0.000000,100999.999817,286.100000
45.602118,35.673612,2.000000,1.230000,678.113116,-0.000000,100999.999979,286.100000
45.602118,36.755209,2.000000,1.230000,678.113116,-0.000000,100999.999998,286.100000
45.602118,37.836806,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
45.602118,38.918403,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
45.602118,40.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
