x,y,Ma,rho/rho1,p/p1,T/T1
0.000000,0.000000,2.000000,1.000000,1.000000,1.000000
0.000000,1.000000,2.000000,1.000000,1.000000,1.000000
0.000000,2.000000,2.000000,1.000000,1.000000,1.000000
0.000000,3.000000,2.000000,1.000000,1.000000,1.000000
0.000000,4.000000,2.000000,1.000000,1.000000,1.000000
0.000000,5.000000,2.000000,1.000000,1.000000,1.000000
0.000000,6.000000,2.000000,1.000000,1.000000,1.000000
0.000000,7.000000,2.000000,1.000000,1.000000,1.000000
0.000000,8.000000,2.000000,1.000000,1.000000,1.000000
0.000000,9.000000,2.000000,1.000000,1.000000,1.000000
0.000000,10.000000,2.000000,1.000000,1.000000,1.000000
0.000000,11.000000,2.000000,1.000000,1.000000,1.000000
0.000000,12.000000,2.000000,1.000000,1.000000,1.000000
0.000000,13.000000,2.000000,1.000000,1.000000,1.000000
0.000000,14.000000,2.000000,1.000000,1.000000,1.000000
0.000000,15.000000,2.000000,1.000000,1.000000,1.000000
0.000000,16.000000,2.000000,1.000000,1.000000,1.000000
0.000000,17.000000,2.000000,1.000000,1.000000,1.000000
0.000000,18.000000,2.000000,1.000000,1.000000,1.000000
0.000000,19.000000,2.000000,1.000000,1.000000,1.000000
0.000000,20.000000,2.000000,1.000000,1.000000,1.000000
0.000000,21.000000,2.000000,1.000000,1.000000,1.000000
0.000000,22.000000,2.000000,1.000000,1.000000,1.000000
0.000000,23.000000,2.000000,1.000000,1.000000,1.000000
0.000000,24.000000,2.000000,1.000000,1.000000,1.000000
0.000000,25.000000,2.000000,1.000000,1.000000,1.000000
0.000000,26.000000,2.000000,1.000000,1.000000,1.000000
0.000000,27.000000,2.000000,1.000000,1.000000,1.000000
0.000000,28.000000,2.000000,1.000000,1.000000,1.000000
0.000000,29.000000,2.000000,1.000000,1.000000,1.000000
0.000000,30.000000,2.000000,1.000000,1.000000,1.000000
0.000000,31.000000,2.000000,1.000000,1.000000,1.000000
0.000000,32.000000,2.000000,1.000000,1.000000,1.000000
0.000000,33.000000,2.000000,1.000000,1.000000,1.000000
0.000000,34.000000,2.000000,1.000000,1.000000,1.000000
0.000000,35.000000,2.000000,1.000000,1.000000,1.000000
0.000000,36.000000,2.000000,1.000000,1.000000,1.000000
0.000000,37.000000,2.000000,1.000000,1.000000,1.000000
0.000000,38.000000,2.000000,1.000000,1.000000,1.000000
0.000000,39.000000,2.000000,1.000000,1.000000,1.000000
0.000000,40.000000,2.000000,1.000000,1.000000,1.000000
0.866025,0.000000,1.999999,1.000001,1.000001,1.000000
0.866025,1.000000,2.000000,1.000000,1.000000,1.000000
0.866025,2.000000,2.000000,1.000000,1.000000,1.000000
0.866025,3.000000,2.000000,1.000000,1.000000,1.000000
0.866025,4.000000,2.000000,1.000000,1.000000,1.000000
0.866025,5.000000,2.000000,1.000000,1.000000,1.000000
0.866025,6.000000,2.000000,1.000000,1.000000,1.000000
0.866025,7.000000,2.000000,1.000000,1.000000,1.000000
0.866025,8.000000,2.000000,1.000000,1.000000,1.000000
0.866025,9.000000,2.000000,1.000000,1.000000,1.000000
0.866025,10.000000,2.000000,1.000000,1.000000,1.000000
0.866025,11.000000,2.000000,1.000000,1.000000,1.000000
0.866025,12.000000,2.000000,1.000000,1.000000,1.000000
0.866025,13.000000,2.000000,1.000000,1.000000,1.000000
0.866025,14.000000,2.000000,1.000000,1.000000,1.000000
0.866025,15.000000,2.000000,1.000000,1.000000,1.000000
0.866025,16.000000,2.000000,1.000000,1.000000,1.000000
0.866025,17.000000,2.000000,1.000000,1.000000,1.000000
0.866025,18.000000,2.000000,1.000000,1.000000,1.000000
0.866025,19.000000,2.000000,1.000000,1.000000,1.000000
0.866025,20.000000,2.000000,1.000000,1.000000,1.000000
0.866025,21.000000,2.000000,1.000000,1.000000,1.000000
0.866025,22.000000,2.000000,1.000000,1.000000,1.000000
0.866025,23.000000,2.000000,1.000000,1.000000,1.000000
0.866025,24.000000,2.000000,1.000000,1.000000,1.000000
